DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
ADAMANTINA;ADAMANTINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30806;HELEN KELLER;3;9
ADAMANTINA;ADAMANTINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;30806;HELEN KELLER;1;2
ADAMANTINA;ADAMANTINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31112;FLEURIDES CAVALLINI MENECHINO PROFA;3;16
ADAMANTINA;DRACENA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;31264;9 DE JULHO;1;3
ADAMANTINA;DRACENA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;31276;ISAC PEREIRA GARCEZ ENG;1;1
ADAMANTINA;DRACENA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;911173;ALFREDO MACHADO;3;18
ADAMANTINA;FLORIDA PAULISTA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30910;PERCIO GOMES GONZALES DR;2;7
ADAMANTINA;INUBIA PAULISTA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31598;IRALDO ANTONIO MARTINS DE TOLEDO;1;3
ADAMANTINA;IRAPURU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;30958;JOSE EDSON MOYSES PROF;1;3
ADAMANTINA;JUNQUEIROPOLIS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;31306;GERALDO PECORARI PROF;2;6
ADAMANTINA;JUNQUEIROPOLIS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31525;IDENE RODRIGUES DOS SANTOS PROF;4;21
ADAMANTINA;LUCELIA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30788;JOSE FIRPO;2;11
ADAMANTINA;OSVALDO CRUZ;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31616;OSVALDO MARTINS;1;8
ADAMANTINA;PACAEMBU;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31069;JOEL AGUIAR PROF;2;14
ADAMANTINA;PRACINHA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;30831;TAIEKA TAKAHASHI GIMENES PROFA;1;2
ADAMANTINA;TUPI PAULISTA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31513;LEA APARECIDA VIEIRA GUEDES;1;6
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;16974;SAO VICENTE DE PAULO;3;13
AMERICANA;AMERICANA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DA - CRPE;7;16998;ALCINDO SOARES DO NASCIMENTO PROF;1;1
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17140;MARIO PATARRA FRATTINI PROF;2;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17152;MAURA ARRUDA GUIDOLIN PROFA;1;3
AMERICANA;AMERICANA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DA - CRPE;7;17164;JOAO DE CASTRO GONCALVES DR;1;1
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17164;JOAO DE CASTRO GONCALVES DR;1;2
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17322;JOAO SOLIDARIO PEDROSO PROF;1;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;37928;SINESIA MARTINI PROFA;2;7
AMERICANA;AMERICANA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;42481;MARCELINO TOMBI PROF;1;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;49897;BENTO PENTEADO DOS SANTOS PROF;3;9
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DF - CRPE;8;435442;MARIA FRIZZARIN PROFA;2;7
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;578563;PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA;2;6
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;903760;ANTONIETA GHIZINI LENHARE PROFA;1;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DA - CRPE;7;980055;CEEJA ALDA MARANGONI FRANCA PROFA;2;13
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;980055;CEEJA ALDA MARANGONI FRANCA PROFA;3;21
AMERICANA;NOVA ODESSA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;905574;JOAQUIM RODRIGUES AZENHA DR;1;1
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;17000;INOCENCIO MAIA PROF;1;2
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17292;ANTONIO MATARAZZO PROF;1;6
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;903796;DIRCEU DIAS CARNEIRO;3;20
ANDRADINA;ANDRADINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29373;ALVARO GUIAO DR;2;16
ANDRADINA;ANDRADINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29397;AUGUSTO MARIANI DR;2;11
ANDRADINA;ANDRADINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29609;JOAO BREMBATTI CALVOSO;5;27
ANDRADINA;ANDRADINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;29609;JOAO BREMBATTI CALVOSO;1;3
ANDRADINA;CASTILHO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29543;ARMEL MIRANDA;3;16
ANDRADINA;GUARACAI;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29506;JUVENTINO NOGUEIRA RAMOS;1;1
ANDRADINA;ILHA SOLTEIRA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30740;ARNO HAUSSER;3;19
ANDRADINA;ITAPURA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29488;PAULO GRASSI BONILHA DR;2;6
ANDRADINA;MURUTINGA DO SUL;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29634;ANCHIETA PADRE;2;15
ANDRADINA;PEREIRA BARRETO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30570;MITSUSADA UMETANI DR;4;24
ANDRADINA;PEREIRA BARRETO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30703;AGNES LIEDTKE;5;30
ANDRADINA;SUD MENNUCCI;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30673;CICERO CASTILHO CUNHA;2;8
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;14424;AMBROSINA DE OLIVEIRA MATTOS PROFA;1;1
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;14424;AMBROSINA DE OLIVEIRA MATTOS PROFA;2;4
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;38878;JOAO PEDRO DO NASCIMENTO PROF;2;4
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;41439;OSWALDINA SANTOS PROFA;1;3
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;41439;OSWALDINA SANTOS PROFA;2;4
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;912013;JULIA RIBEIRO BRETAS PROFA;1;1
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;919779;VERA LUCIA COSMO LUCENA PROFESSORA;1;1
APIAI;BARRA DO CHAPEU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;41440;HERMINIA DA SILVEIRA MELLO DONA;1;1
APIAI;BARRA DO CHAPEU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;41440;HERMINIA DA SILVEIRA MELLO DONA;1;3
APIAI;BARRA DO CHAPEU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;913522;JAIME DE OLIVEIRA PROF;1;3
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;48227;LEILA MARISA PASSARO PROFA;1;3
APIAI;ITAOCA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;48203;CACILDA LAGES PEREIRA CAVANI PROFA;1;1
APIAI;RIBEIRA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;48239;JULIA DA SILVEIRA MELLO PROFA;1;2
APIAI;RIBEIRAO BRANCO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;38885;ABDIEL LOPES MONTEIRO PROF;1;1
ARACATUBA;ARACATUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;29713;LUIZ GAMA;1;3
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29737;LICOLINA VILLELA REIS ALVES PROFA;1;7
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29749;CLOVIS DE ARRUDA CAMPOS DR;2;11
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;29865;JOSE CANDIDO;1;5
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;29890;GENESIO DE ASSIS PROF;1;7
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30016;VANIOLE DIONYSIO MARQUES PAVAN PROFA;3;14
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30053;MARIA APPARECIDA BALTHAZAR POCO PROFA;2;16
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30065;JOSE ARANTES TERRA PROF;1;7
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DF - CRPE;8;30089;JOUBERT DE CARVALHO DR;1;1
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30089;JOUBERT DE CARVALHO DR;1;7
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;48513;ALTINA MORAES SAMPAIO PROFA;2;12
ARACATUBA;ARACATUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;907224;ABRANCHE JOSE PROF;2;6
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;907236;MARIA DO CARMO LELIS PROFA;1;7
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;909257;ARTHUR LEITE CARRIJO PROF;4;18
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;924611;ARY BOCUHY PROF;2;16
ARACATUBA;GUARARAPES;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;29944;JOAO ARRUDA BRASIL;1;5
ARACATUBA;GUARARAPES;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30041;WALDEMAR QUEIROZ PROF;2;9
ARACATUBA;GUARARAPES;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;907248;AIMONE SALA PROF;1;3
ARARAQUARA;AMERICO BRASILIENSE;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;42778;ALZIRA DIAS DE TOLEDO PIZA PROFA;4;12
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;4092;PROFA MIRYAN LEOPOLDINA CARAMURU DE CASTRO MONTEIRO;1;1
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;4092;PROFA MIRYAN LEOPOLDINA CARAMURU DE CASTRO MONTEIRO;2;3
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;4714;VEREADOR CARLOS ROBERTO MARQUES;1;1
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DA - CRPE;7;21854;BENTO DE ABREU;4;9
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DF - CRPE;8;21854;BENTO DE ABREU;4;13
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;21854;BENTO DE ABREU;6;18
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;21854;BENTO DE ABREU;4;12
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;21854;BENTO DE ABREU;6;35
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DF - CRPE;8;21933;NARCISO DA SILVA CESAR;1;1
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;21933;NARCISO DA SILVA CESAR;1;1
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;21970;VICTOR LACORTE PROF;3;11
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;22020;ANTONIO JOAQUIM DE CARVALHO;1;1
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;22081;FRANCISCO PEDRO MONTEIRO DA SILVA;1;2
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DA - CRPE;7;22147;LEA DE FREITAS MONTEIRO PROFA;1;1
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22147;LEA DE FREITAS MONTEIRO PROFA;3;11
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22160;JOAO BATISTA DE OLIVEIRA;2;4
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;22160;JOAO BATISTA DE OLIVEIRA;2;8
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;435697;MARIA ISABEL RODRIGUES ORSO PROFA;4;24
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;903358;LEONARDO BARBIERI DEPUTADO;2;7
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;903358;LEONARDO BARBIERI DEPUTADO;1;2
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;922973;SERGIO PEDRO SPERANZA PROF;3;3
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DA - CRPE;7;24946;HENRIQUE MORATO PROF;1;1
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;24946;HENRIQUE MORATO PROF;3;8
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;24946;HENRIQUE MORATO PROF;2;4
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;24946;HENRIQUE MORATO PROF;3;20
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;24961;LEOPOLDINO MEIRA DE ANDRADE DR;2;6
ARARAQUARA;MATAO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;25008;ROBERTO VELTRE PROF;1;2
ARARAQUARA;MATAO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;44672;LAERT JOSE TARALLO MENDES PROF;1;3
ARARAQUARA;MATAO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;44672;LAERT JOSE TARALLO MENDES PROF;1;3
ARARAQUARA;MATAO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;49633;DORIVAL DE CARVALHO;1;2
ARARAQUARA;MATAO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;919408;ERNESTO MASSELANI;1;2
ARARAQUARA;MATAO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;919408;ERNESTO MASSELANI;1;1
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;919412;MARLENE FRATTINI PROFA;3;14
ASSIS;ASSIS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;33112;ANTONIO JOSE DOS SANTOS DOM;3;13
ASSIS;ASSIS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DA - CRPE;7;33182;FRANCISCA RIBEIRO MELLO FERNANDES PROFA;2;7
ASSIS;ASSIS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;33236;LOURDES PEREIRA PROFA;5;21
ASSIS;ASSIS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DF - CRPE;8;33261;CLYBAS PINTO FERRAZ DR;3;9
ASSIS;ASSIS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;33261;CLYBAS PINTO FERRAZ DR;2;7
ASSIS;CRUZALIA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;33078;JOAQUIM GONCALVES DE OLIVEIRA;1;7
ASSIS;MARACAI;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;905999;MARIA APARECIDA GALHARINI DOS SANTOS PROFA;3;15
ASSIS;PARAGUACU PAULISTA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;33339;ISIDORO BAPTISTA;1;4
ASSIS;TARUMA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;33133;MARIA MAGDALENA DE OLIVEIRA DONA COTA;4;19
ASSIS;TARUMA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;33133;MARIA MAGDALENA DE OLIVEIRA DONA COTA;1;7
ASSIS;TARUMA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;900862;DAVID JOSE LUZ PROF;1;3
BARRETOS;ALTAIR;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;28228;OVIDIO DE SOUZA DIAS;1;7
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22214;BENEDITO PEREIRA CARDOSO PROFESSOR;3;12
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22263;ALMEIDA PINTO;2;8
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22329;PAULINA NUNES DE MORAES PROFESSORA;3;16
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22354;MARIO VIEIRA MARCONDES;2;11
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22391;SILVESTRE DE LIMA CORONEL;3;14
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;22445;AYMORE DO BRASIL PROFESSOR;3;9
BARRETOS;BARRETOS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;36894;VALOIS SCORTECCI;3;9
BARRETOS;BARRETOS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;907736;FABIO JUNQUEIRA FRANCO;1;3
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;907736;FABIO JUNQUEIRA FRANCO;1;1
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;907741;LACY BONILHA DE SOUZA PROFESSORA;1;8
BARRETOS;COLINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;48012;DARCY SILVEIRA VAZ PROFESSOR;1;3
BARRETOS;GUAIRA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;22421;DALVA LELLIS GARCIA PRADO PROFA;3;9
BARRETOS;GUARACI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;28095;JOSE ANTONIO SANTANA;2;11
BARRETOS;OLIMPIA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;28022;NARCISO BERTOLINO CAPITAO;2;6
BARRETOS;OLIMPIA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;28034;ANITA COSTA DONA;3;14
BARRETOS;OLIMPIA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DV - CRPE;10;28046;WILQUEM MANOEL NEVES DOUTOR;1;1
BARRETOS;OLIMPIA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;28061;MARIA UBALDINA DE BARROS FURQUIM PROFESSORA;3;22
BARRETOS;OLIMPIA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;28071;ANTONIO AUGUSTO REIS NEVES DOUTOR;2;11
BARRETOS;OLIMPIA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;28125;ELOI LOPES FERRAZ DOUTOR;2;6
BARRETOS;OLIMPIA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;919664;ALZIRA TONELLI ZACCARELLI PROFESSORA;3;7
BAURU;AGUDOS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;25987;JOAO BATISTA DE AQUINO PE;5;28
BAURU;AGUDOS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DA - CRPE;7;26037;JOAO BATISTA RIBEIRO;1;1
BAURU;AGUDOS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;26037;JOAO BATISTA RIBEIRO;3;5
BAURU;AGUDOS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DV - CRPE;10;26037;JOAO BATISTA RIBEIRO;1;1
BAURU;AGUDOS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;26037;JOAO BATISTA RIBEIRO;1;2
BAURU;AREALVA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;25252;SEBASTIAO INOC ASSUMPCAO PROF;3;13
BAURU;AVAI;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;25264;ANIS DABUS DR;1;2
BAURU;BAURU;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;5898;JARDIM TANGARAS;3;15
BAURU;BAURU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;25161;FRAGA MAJOR;1;1
BAURU;BAURU;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;25161;FRAGA MAJOR;3;9
BAURU;BAURU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;25227;ANTONIO XAVIER MENDONCA PROF;2;3
BAURU;BAURU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;25240;EDUARDO VELHO FILHO PROF;1;1
BAURU;BAURU;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DA - CRPE;7;25276;LUIZ ZUIANI DR;1;7
BAURU;BAURU;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;25276;LUIZ ZUIANI DR;3;11
